episode,seed,total_reward,steps,terminal_outcome,timestamp
0,42,-61.610555,50,timeout,2026-04-22T14:24:07.417270+00:00
1,43,-61.60215,50,timeout,2026-04-22T14:24:07.485218+00:00
0,42,-61.610555,50,timeout,2026-04-22T18:17:17.173835+00:00
1,43,-61.60215,50,timeout,2026-04-22T18:17:17.231936+00:00
0,42,-61.610555,50,timeout,2026-04-22T18:21:40.839554+00:00
1,43,-61.60215,50,timeout,2026-04-22T18:21:40.954370+00:00
0,42,-61.610555,50,timeout,2026-04-22T18:22:09.365427+00:00
1,43,-61.60215,50,timeout,2026-04-22T18:22:09.465790+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:17:17.240814+00:00
1,43,-61.60215,50,timeout,2026-04-24T12:17:17.529212+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:20:05.324376+00:00
1,43,-61.60215,50,timeout,2026-04-24T12:20:05.409222+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:21:25.160450+00:00
1,43,-61.60215,50,timeout,2026-04-24T12:21:25.333343+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:24:56.113561+00:00
1,43,-61.60215,50,timeout,2026-04-24T12:24:56.458621+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:25:00.807199+00:00
1,43,-61.60215,50,timeout,2026-04-24T12:25:01.698684+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:35:04.317610+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:36:10.124914+00:00
0,42,-61.610555,50,timeout,2026-04-24T12:42:45.971244+00:00
1,43,-61.60215,50,timeout,2026-04-24T12:42:46.639970+00:00
